,date,Start,End,Sleep quality,Time in bed,Wake up,Sleep Notes,Heart rate,Activity (steps),sleeptime,sleepnote
0,2014-12-29,2014/12/29 22:57,2014/12/30 7:30,1,8:32:00,:),,59,0,512,['nan']
2,2014-12-30,2014/12/30 22:42,2014/12/31 7:13,0.98,8:30:00,:|,,57,0,510,['nan']
3,2014-12-31,2014/12/31 22:31,2015/1/1 6:03,0.65,7:32:00,,,,0,452,['nan']
4,2015-01-01,2015/1/1 22:12,2015/1/2 4:56,0.72,6:44:00,:),Drank coffee:Drank tea,68,0,404,"['Drank coffee', 'Drank tea']"
5,2015-01-03,2015/1/3 0:34,2015/1/3 7:47,0.83,7:12:00,:),Drank coffee:Drank tea,60,0,432,"['Drank coffee', 'Drank tea']"
6,2015-01-04,2015/1/4 0:23,2015/1/4 7:37,0.78,7:14:00,,Drank tea,,0,434,['Drank tea']
7,2015-01-04,2015/1/4 21:34,2015/1/5 4:53,0.78,7:18:00,:),Ate late:Drank coffee,57,0,438,"['Ate late', 'Drank coffee']"
8,2015-01-05,2015/1/5 21:32,2015/1/6 5:00,0.69,7:27:00,:),Drank coffee:Drank tea:Worked out,56,0,447,"['Drank coffee', 'Drank tea', 'Worked out']"
9,2015-01-06,2015/1/6 21:24,2015/1/7 5:00,0.74,7:35:00,:|,Drank tea:Worked out,64,0,455,"['Drank tea', 'Worked out']"
10,2015-01-07,2015/1/7 20:59,2015/1/8 6:19,0.81,9:19:00,:),Drank coffee:Drank tea:Stressful day,62,0,559,"['Drank coffee', 'Drank tea', 'Stressful day']"
11,2015-01-08,2015/1/8 22:58,2015/1/9 6:14,0.88,7:16:00,:),Drank coffee:Drank tea,58,0,436,"['Drank coffee', 'Drank tea']"
12,2015-01-09,2015/1/9 22:27,2015/1/10 7:29,0.77,9:01:00,:|,Drank coffee:Drank tea,65,0,541,"['Drank coffee', 'Drank tea']"
13,2015-01-10,2015/1/10 22:38,2015/1/11 7:28,0.89,8:50:00,:|,Drank coffee:Drank tea,65,0,530,"['Drank coffee', 'Drank tea']"
14,2015-01-11,2015/1/11 22:12,2015/1/12 6:20,0.78,8:08:00,:),Drank tea,53,0,488,['Drank tea']
15,2015-01-12,2015/1/12 21:01,2015/1/13 6:13,1,9:11:00,:),Drank tea:Worked out,65,0,551,"['Drank tea', 'Worked out']"
16,2015-01-13,2015/1/13 22:14,2015/1/14 6:20,1,8:06:00,:),Drank coffee:Drank tea,55,0,486,"['Drank coffee', 'Drank tea']"
17,2015-01-14,2015/1/14 21:48,2015/1/15 5:02,0.88,7:13:00,:),Drank coffee:Drank tea:Worked out,60,0,433,"['Drank coffee', 'Drank tea', 'Worked out']"
18,2015-01-15,2015/1/15 21:32,2015/1/16 4:54,0.87,7:22:00,:),Drank tea,60,0,442,['Drank tea']
19,2015-01-17,2015/1/17 2:11,2015/1/17 9:03,0.83,6:51:00,:),Drank coffee:Drank tea,94,0,411,"['Drank coffee', 'Drank tea']"
20,2015-01-17,2015/1/17 23:55,2015/1/18 7:47,0.93,7:51:00,:),Drank coffee:Drank tea,57,0,471,"['Drank coffee', 'Drank tea']"
21,2015-01-18,2015/1/18 21:51,2015/1/19 5:04,0.58,7:12:00,:),Drank coffee,67,0,432,['Drank coffee']
22,2015-01-19,2015/1/19 5:06,2015/1/19 6:20,0.16,1:13:00,:),,58,0,73,['nan']
23,2015-01-19,2015/1/19 21:45,2015/1/20 5:45,0.75,8:00:00,:|,Drank coffee:Drank tea:Worked out,54,0,480,"['Drank coffee', 'Drank tea', 'Worked out']"
24,2015-01-20,2015/1/20 21:42,2015/1/21 5:45,0.8,8:02:00,:|,Drank coffee:Drank tea:Worked out,60,0,482,"['Drank coffee', 'Drank tea', 'Worked out']"
25,2015-01-21,2015/1/21 22:34,2015/1/22 6:17,0.87,7:42:00,:),Drank coffee:Drank tea:Worked out,75,0,462,"['Drank coffee', 'Drank tea', 'Worked out']"
26,2015-01-25,2015/1/25 20:55,2015/1/26 6:14,0.87,9:19:00,:),Drank coffee,58,0,559,['Drank coffee']
27,2015-01-26,2015/1/26 22:36,2015/1/27 6:11,0.83,7:35:00,:|,Drank coffee:Drank tea:Stressful day,66,0,455,"['Drank coffee', 'Drank tea', 'Stressful day']"
28,2015-01-28,2015/1/28 21:43,2015/1/29 5:20,0.76,7:37:00,:),Drank coffee:Drank tea:Stressful day,57,0,457,"['Drank coffee', 'Drank tea', 'Stressful day']"
29,2015-01-29,2015/1/29 22:23,2015/1/30 5:29,0.67,7:05:00,:),Drank coffee:Drank tea:Worked out,63,0,425,"['Drank coffee', 'Drank tea', 'Worked out']"
30,2015-01-31,2015/1/31 0:13,2015/1/31 8:17,0.93,8:03:00,:),Drank coffee:Drank tea:Stressful day,62,0,483,"['Drank coffee', 'Drank tea', 'Stressful day']"
31,2015-02-01,2015/2/1 21:55,2015/2/2 5:09,0.64,7:13:00,:),Drank coffee:Drank tea,56,0,433,"['Drank coffee', 'Drank tea']"
32,2015-02-02,2015/2/2 22:30,2015/2/3 6:20,0.75,7:49:00,:),Drank tea,61,0,469,['Drank tea']
33,2015-02-03,2015/2/3 22:47,2015/2/4 6:20,0.72,7:32:00,:),Drank coffee:Drank tea,61,0,452,"['Drank coffee', 'Drank tea']"
34,2015-02-04,2015/2/4 23:03,2015/2/5 6:10,0.7,7:07:00,:),Drank tea:Worked out,57,0,427,"['Drank tea', 'Worked out']"
35,2015-02-08,2015/2/8 22:30,2015/2/9 6:48,0.89,8:17:00,:),Drank coffee:Drank tea,61,0,497,"['Drank coffee', 'Drank tea']"
36,2015-02-09,2015/2/9 21:55,2015/2/10 6:13,0.85,8:17:00,:),Drank coffee,58,0,497,['Drank coffee']
37,2015-02-10,2015/2/10 22:20,2015/2/11 6:20,0.59,8:00:00,:),Drank coffee,60,0,480,['Drank coffee']
38,2015-02-11,2015/2/11 21:53,2015/2/12 5:30,0.67,7:36:00,:),Drank coffee:Drank tea:Worked out,57,0,456,"['Drank coffee', 'Drank tea', 'Worked out']"
39,2015-02-12,2015/2/12 22:34,2015/2/13 5:24,0.69,6:49:00,:),Drank coffee:Drank tea:Worked out,53,0,409,"['Drank coffee', 'Drank tea', 'Worked out']"
40,2015-02-15,2015/2/15 22:16,2015/2/16 5:20,0.74,7:04:00,:),Drank coffee,60,0,424,['Drank coffee']
41,2015-02-17,2015/2/17 0:02,2015/2/17 6:16,0.78,6:13:00,:),Drank coffee:Drank tea:Worked out,65,0,373,"['Drank coffee', 'Drank tea', 'Worked out']"
42,2015-02-17,2015/2/17 22:20,2015/2/18 5:05,0.7,6:45:00,:),Drank coffee:Drank tea,55,0,405,"['Drank coffee', 'Drank tea']"
43,2015-02-19,2015/2/19 22:39,2015/2/20 6:20,0.77,7:40:00,:),Drank coffee:Drank tea:Stressful day,66,0,460,"['Drank coffee', 'Drank tea', 'Stressful day']"
44,2015-02-21,2015/2/21 0:31,2015/2/21 7:32,0.72,7:00:00,:),Drank coffee:Drank tea:Worked out,55,0,420,"['Drank coffee', 'Drank tea', 'Worked out']"
